pregunta,respuesta,categoria
¿Dónde nos encontramos para salir y a qué hora?,El programa requerido para participar del viaje misionero es estar en la Iglesia el día viernes 26/12 a las 05:00 hs hasta el domingo 28/12 a las 13:00 hs,Logística General
¿Cómo será el traslado entre la Iglesia y el Hospedaje?,Queda a cargo de cada uno. En auto/uber son 7 minutos y caminando 30 min. Se utiliza tarjeta SUBE en transporte público.,Logística General
¿Cuántas valijas o mochilas puedo llevar?,Recomendamos llevar 1 bolso mediano por persona. Cada uno deberá chequear las condiciones de equipaje que compró en su pasaje.,Logística General
¿Necesito llevar mi DNI o algún documento adicional?,Es de carácter OBLIGATORIO que cada uno lleve su DNI.,Logística General
¿Está incluida la comida o debemos llevar algo?,Dentro del precio que pagamos como jóvenes se incluye la cena del viernes y sábado como también el desayuno del sábado y domingo.,Alimentación
¿Puedo llevar snacks o bebidas personales?,"Sí, se puede. Verificar las políticas de alimentos en la aerolínea/empresa por la que viajes.",Alimentación
¿Habrá agua potable disponible durante todo el viaje?,Cada uno deberá tener sus bebidas. Está incluida la bebida correspondiente a las comidas.,Alimentación
¿Se puede llevar termo o mate?,"Sí, pero para transportarlo en avión, todo debe estar bien cerrado, vacío y bien embalado. Hay aerolíneas que permiten llevarlo en cabina y otras que te obligarán a despacharlo.",Alimentación
¿Qué ropa debo llevar en mi equipaje?,"Ropa y calzado cómodo y fresco para poder moverte sin problemas. Recomendamos llevar 1 campera liviana y 2 mudas de ropa extra. El hospedaje incluye 1 manta por cama pero NO incluye sábanas. Guía de vestimenta: Remeras de algodón livianas / camisas manga corta, Pantalones livianos tipo joggers, Shorts o bermudas (no muy cortos), Campera liviana para las noches o lluvias, Zapatillas o calzado urbano (evitar sandalias, ojotas, etc), Sombreros o gorras, Toallas chicas",Alimentación
¿Cuál es el costo total del viaje?,"Cada uno es responsable de sacar su propio pasaje para ir a Jujuy. Puede organizar su agenda y costos sea en avión, micro o auto. El costo de $47.000 solo incluye hospedaje y comida (pero NO almuerzo).",Costos
¿Hasta cuándo se puede pagar?,"Hasta el sábado 20 de diciembre, última reunión de jóvenes previa al viaje.",Costos
¿Hay algún descuento o plan de pago por etapas?,Se puede pagar en cuotas siempre que para la fecha límite se encuentre abonado en su totalidad.,Costos
¿Puedo donar para otro que no puede pagar el total?,"Sí, se puede. Para esto tenes que hablar con algún líder o responsable de la organización.",Costos
¿Qué pasa si alguien se enferma durante el viaje?,Se debe avisar inmediatamente a algún líder para que se pueda actuar de inmediato.,Salud y Seguridad
¿Debo llevar mis medicamentos personales?,Tenes que llevar TODOS los medicamentos necesarios que tomes con regularidad recetados por un médico.,Salud y Seguridad
¿Habrá cobertura médica o seguro de viaje?,"Cada persona deberá ser responsable y sacar seguro médico si así lo desea con la compañía que compró sus pasajes. Si tenes cobertura médica en Buenos Aires, chequeá que tengas centros de atención en San Salvador de Jujuy.",Salud y Seguridad

